Albania,,,OM BVO,,
Algeria,700/19.02.2015,,Hristo,,
Armenia,,,OM BVO,,
Austria,,,OM BVO,,
Azerbaijan,,,OM BVO,,
Bosnia and Herzegovina,,,OM BVO,,
Bahrain,,,OM BVO,,
Belarus,,,OM BVO,,
Benelux,,,OM BVO,,
Botswana,,,OM BVO,,
Bulgaria,133936/11.09.2014,,OM BVO,,
China,,,OM BVO,,
Croatia,,,OM BVO,,
Cyprus,,,OM BVO,,
Czech Republic,,,OM BVO,,
Denmark,,,OM BVO,,
Estonia,,,OM BVO,,
Egypt,,,OM BVO,,
Finland,,,OM BVO,,
France,,,OM BVO,,
Georgia,,,OM BVO,,
Germany,,,OM BVO,,
Ghana,,,OM BVO,,
Greece,,,OM BVO,,
Hungary,,,OM BVO,,
Iceland,,,OM BVO,,
Ireland,,,OM BVO,,
Israel,,,OM BVO,,
India,,,OM BVO,,
Iraq,,,Hristo,EIPS,
Iran,,,OM BVO,,
Italy,,,OM BVO,,
Japan,,,OM BVO,,
Kenya,,,OM BVO,,
Kyrgyzstan,,,OM BVO,,
DPR Korea,,,OM BVO,,
Korea,,,OM BVO,,
Kazakhstan,,,OM BVO,,
Kuwait,167233/16.04.2015,,Hristo,,
Lebanon,33444/25.04.2015,,Hristo,No word element BOUDOIR (earlier TM),
Lesotho,,,OM BVO,,
Liberia,,,OM BVO,,
Lithuania,,,OM BVO,,
Latvia,,,OM BVO,,
Macedonia,,,OM BVO,,
Malawi,,,OM BVO,,
Morocco,,,OM BVO,,
Moldova,,,OM BVO,,
Montenegro,,,OM BVO,,
Namibia,,,OM BVO,,
Nigeria,,,OM BVO,Marcaria,
Norway,,,OM BVO,,
OAPI,,,OM BVO,,
Oman,,,OM BVO,,
Philippines,,,OM BVO,,
Poland,,,OM BVO,,
Portugal,,,OM BVO,,
Serbia,,,OM BVO,,
Spain,,,OM BVO,,
Romania,,,OM BVO,,
Russia,,,OM BVO,,
Rwanda,,,OM BVO,,
Saudi Arabia,1436018385,24.02.2025,Hristo,,No word element BOUDOIR (earlier TM)
South Africa,,,OM BVI,,
Sudan,,,OM BVO,,
Swaziland,,,OM BVO,,
Sweden,,,OM BVO,,
Singapore,,,OM BVO,,
Slovenia,,,OM BVO,,
Slovakia,,,OM BVO,,
Sierra Leone,,,OM BVO,,
Syria,,,OM BVO,,
Tajikistan,,,OM BVO,,
Tanzania,,,OM BVO,,
Turkmenistan,,,OM BVO,,
Tunisia,,,OM BVO,,
Turkey,,,OM BVO,,
Uganda,,,OM BVO,,
Ukraine,,,OM BVO,,
United Arab Emirates,220385,28.10.2024,OM BVO,,
United Kingdom (UK),,,OM BVO,,
Uzbekistan,,,OM BVO,,
Vietnam,,,OM BVO,,
Zambia,,,OM BVO,,
Zimbabwe,,,OM BVO,,
