Albania,,,OM BVI,
Armenia,,,OM BVI,
Austria,,,OM BVI,
Azerbaijan,,,OM BVI,
Bosnia and Herzegovina,,,OM BVI,
Bulgaria,136874/14.05.2015,,OM BVO,
Bahrain,,,OM BVO,
Belarus,,,OM BVO,
Benelux,,,OM BVO,
Botswana,,,OM BVO,
China,,,OM BVO,
Croatia,,,OM BVO,
Cyprus,,,OM BVO,
Czech Republic,,,OM BVO,
Denmark,,,OM BVO,
Egypt,,,OM BVO,
Estonia,,,OM BVO,
Finland,,,OM BVO,
France,,,OM BVO,
Georgia,,,OM BVO,
Germany,,,OM BVO,
Ghana,,,OM BVO,
Greece,,,OM BVI,
Hungary,,,OM BVO,
Iceland,,,OM BVO,
Ireland,,,OM BVO,
Israel,,,OM BVO,
India,,,OM BVO,
Iran,,,OM BVO,
Italy,,,OM BVO,
Japan,,,OM BVO,
Kenya,,,OM BVO,
Kyrgyzstan,,,OM BVO,
DPR Korea,,,OM BVO,
Korea,,,OM BVO,
Kazakhstan,,,OM BVO,
Liberia,,,OM BVO,
Lithuania,,,OM BVO,
Lesotho,,,OM BVO,
Latvia,,,OM BVO,
Macedonia,,,OM BVI,
Malawi,,,OM BVI,
Morocco,,,OM BVO,
Moldova,,,OM BVO,
Montenegro,,,OM BVO,
Namibia,,,OM BVO,
Nigeria,,,OM BVO,Marcaria
Norway,,,OM BVO,
OAPI,,,OM BVI,
Oman,,,OM BVO,
Philippines,,,OM BVO,
Poland,,,OM BVO,
Portugal,,,OM BVO,
Serbia,,,OM BVO,
Spain,,,OM BVO,
Romania,,,OM BVO,
Russia,,,OM BVO,
Rwanda,,,OM BVO,
Sudan,,,OM BVO,
Sweden,,,OM BVO,
Singapore,,,OM BVO,
Slovenia,,,OM BVO,
Slovakia,,,OM BVO,
Sierra Leone,,,OM BVO,
South Africa,,,OM BVI,
Swaziland,,,OM BVI,
Syria,,,OM BVO,
Tajikistan,,,OM BVO,
Tanzania,,,OM BVO,
Turkmenistan,,,OM BVO,
Tunisia,,,OM BVO,
Turkey,,,OM BVO,
Uganda,,,OM BVO,
Ukraine,,,OM BVO,
United Arab Emirates,,,Hristo,
United Kingdom (UK),,,OM BVO,
Uzbekistan,,,OM BVO,
Zambia,,,OM BVO,
Zimbabwe,,,OM BVO,
