Albania,1246770,,OM BVI,
Armenia,1246770,,OM BVI,
Austria,1246770,11.12.2024,OM BVO,
Azerbaijan,1246770,,OM BVI,
Bahrain,1246770,,OM BVO,
Belarus,1246770,,OM BVO,
Benelux,1246770,11.12.2024,OM BVO,
Bosnia and Herzegovina,1246770,,OM BVI,
Bulgaria,134782,20.11.2014,OM BVO,
China,1246770,11.12.2024,OM BVO,
Croatia,1246770,11.12.2024,OM BVO,
Cyprus,1246770,,OM BVO,
Czech Republic,1246770,11.12.2024,OM BVO,
Denmark,1246770,11.12.2024,OM BVO,
DPR Korea,1246770,,OM BVO,
Egypt,1246770,,OM BVO,
Estonia,1246770,,OM BVO,
Finland,1246770,,OM BVO,
France,1246770,11.12.2024,OM BVO,
Georgia,1246770,,OM BVO,
Germany,1246770,11.12.2024,OM BVO,
Ghana,1246770,,OM BVO,
Greece,1246770,,OM BVI,
Hungary,1246770,11.12.2024,OM BVO,
Iceland,1246770,11.12.2024,OM BVO,
India,1246770,,OM BVO,
Iran,,,OM BVO,
Iraq,Pending ,,Hristo,
Ireland,1246770,11.12.2024,OM BVO,
Israel,1246770,,OM BVO,
Italy,1246770,,OM BVO,
Japan,1246770,,OM BVI,
Kazakhstan,1246770,,OM BVO,
Kenya,1246770,,OM BVO,
Korea,1246770,,OM BVO,
Kyrgyzstan,1246770,11.12.2024,OM BVO,
Kuwait,167230/16.04.2015,,Hristo,
Latvia,1246770,11.12.2024,OM BVO,
Lebanon,166094,29.05.2030,Hristo,
Liberia,1246770,,OM BVO,
Lithuania,1246770,11.12.2024,OM BVO,
Macedonia,1246770,,OM BVI,
Moldova,1246770,,OM BVO,
Montenegro,1246770,,OM BVO,
Morocco,1246770,11.12.2024,OM BVO,
Namibia,1246770,,OM BVO,
Nigeria,,,OM BVO,Marcaria
Norway,1246770,11.12.2024,OM BVO,
Oman,1246770,,OM BVO,
Philippines,1246770,,OM BVO,
Poland,1246770,11.12.2024,OM BVO,
Portugal,1246770,,OM BVO,
Romania,1246770,11.12.2024,OM BVO,
Russia,1246770,,OM BVO,
Rwanda,1246770,11.12.2024,OM BVO,
Saudi Arabia,1436018388,24.02.2025,Hristo,
South Africa,,,OM BVI,
Serbia,1246770,,OM BVO,
Sierra Leone,1246770,,OM BVO,
Singapore,1246770,11.12.2024,OM BVO,
Slovakia,1246770,11.12.2024,OM BVO,
Slovenia,1246770,11.12.2024,OM BVO,
Spain,1246770,11.12.2024,OM BVO,
Sudan,1246770,,OM BVO,
Sweden,1246770,,OM BVO,
Syria,1246770,,OM BVO,
Tajikistan,1246770,,OM BVO,
Tunisia,1246770,,OM BVO,
Turkey,1246770,,OM BVO,
Turkmenistan,1246770,,OM BVO,
Ukraine,1246770,,OM BVO,
United Arab Emirates, 181452/4.11.2012,,OM BVI,
United Kingdom (UK),1246770,11.12.2024,OM BVO,
Uzbekistan,1246770,,OM BVO,
Vietnam,233183,02.04.2023,OM UK,only the box; no ORGANZA inscription
Zambia,1246770,,OM BVO,
