Albania,1013314,05.6.2019,OM BVI,
Algeria,Total refusal,,,
Armenia,1013314,05.6.2019,OM BVI,
Austria,1013314,05.6.2019,OM BVI,
Azerbaijan,1013314,05.6.2019,OM BVI,
Belarus,1013314,05.6.2019,OM BVI,
Belgium,1013314,05.6.2019,OM BVI,
Bosnia and Herzegovina,1013314,05.6.2019,OM BVI,
Bulgaria,74613,14.04.2019,OM BVI,
China,1013314,05.6.2019,OM BVI,
Croatia,1013314,05.6.2019,OM BVI,
Cyprus,1013314,05.6.2019,OM BVI,
Czech Republic,1013314,05.6.2019,OM BVI,
Denmark,1013314,05.6.2019,OM BVI,
Egypt,1013314,05.6.2019,OM BVI,
Estonia,1013314,05.6.2019,OM BVI,
Finland,1013314,05.6.2019,OM BVI,
France,1013314,05.6.2019,OM BVI,
Georgia,1013314,05.6.2019,OM BVI,
Germany,1013314 for tobacco,05.6.2019,OM BVI,
Greece,1013314,05.6.2019,OM BVI,
Hungary,1013314,05.6.2019,OM BVI,
Iran,1013314,05.6.2019,OM BVI,
Ireland,1013314,05.6.2019,OM BVI,
Israel,1013314,05.6.2019,OM BVI,
Italy,1013314,05.6.2019,OM BVI,
Japan,Payment second part,05.6.2019,OM BVI,
Kazakhstan,1013314,05.6.2019,OM BVI,
Kyrgyzstan,1013314,05.6.2019,OM BVI,
Latvia,1013314,05.6.2019,OM BVI,
Lithuania,1013314,05.6.2019,OM BVI,
Luxembourg,1013314,05.6.2019,OM BVI,
Macedonia,1013314,05.6.2019,OM BVI,
Moldova,1013314,05.6.2019,OM BVI,
Montenegro,1013314,05.6.2019,OM BVI,
Morocco,1013314,05.6.2019,OM BVI,
Netherlands,1013314,05.6.2019,OM BVI,
Nigeria,,,OM BVO,Marcaria
Norway,1013314,05.6.2019,OM BVI,
OAPI,,24.10.2021,Teleman,
Oman,1013314,05.6.2019,OM BVI,
Poland,1013314,05.6.2019,OM BVI,
Portugal,1013314,05.6.2019,OM BVI,
Romania ,1013314,05.6.2019,OM BVI,
Russia,Total refusal,09.6.2016,OM BVI,
Serbia,1013314,05.6.2019,OM BVI,
Singapore,1013314,05.6.2019,OM BVI,
Slovakia,1013314,05.6.2019,OM BVI,
Slovenia,1013314,05.6.2019,OM BVI,
Spain,1013314,05.6.2019,OM BVI,
Sudan,1013314 ?,05.6.2019,OM BVI,
Sweden,1013314,05.6.2019,OM BVI,
Switzerland,1013314,05.6.2019,OM BVI,
Syria,3327,12.6.2023,OM BVI,
Tajikistan,1013314,05.6.2019,OM BVI,
Turkey,1013314,05.6.2019,OM BVI,
Turkmenistan,1013314,05.6.2019,OM BVI,
Ukraine,1013314,05.6.2019,OM BVI,
United Arab Emirates,181448,04.11.2022,OM BVI,
United Kingdom (UK),1013314,05.6.2019,OM BVI,
Uzbekistan,1013314,05.6.2019,OM BVI,
Vietnam,1013314,05.6.2019,OM BVI,
