Armenia,1004520,19.05.2019,OM UK,
Azerbaijan,1004520,19.05.2019,OM UK,
Belarus,1004520,19.05.2019,OM UK,
Belgium,1004520,19.05.2019,OM UK,
Bulgaria,74982,23.04.2019,OM UK,
China,Total refusal,,,
Cyprus,77755,14.01.2017,Teleman,
Czech Republic,Total refusal,,,
Egypt,1004520 for smokers articles,19.05.2019,OM UK,
France,1004520,19.05.2019,OM UK,
Georgia,1004520,19.05.2019,OM UK,
Greece,1004520,19.05.2019,OM UK,
Hungary,1004520,19.05.2019,OM UK,
Iceland,1004520,19.05.2019,OM UK,
Iran,1004520,19.05.2019,OM UK,
Iraq,55211,,Teleman,
Ireland,1004520,19.05.2019,OM UK,
Italy,1004520,19.05.2019,OM UK,
Kosovo,12578,16.04.2020,Teleman,
Kyrgyzstan,1004520,19.05.2019,OM UK,
Latvia,1004520,19.05.2019,OM UK,
Lithuania,1004520,19.05.2019,OM UK,
Luxembourg,1004520,19.05.2019,OM UK,
Macedonia,1004520,19.05.2019,OM UK,
Moldova,1004520,19.05.2019,OM UK,
Montenegro,1004520,19.05.2019,OM UK,
Morocco,1004520,19.05.2019,OM UK,
Netherlands,1004520,19.05.2019,OM UK,
Nigeria,,,OM BVO,Marcaria
OAPI,,24.10.2021,Teleman,
Peru,182237,19.05.2019,OM UK,
Poland,Total refusal,,,
Russia,1004520,19.05.2019,OM UK,
San Marino,1004520,19.05.2019,OM UK,
Serbia,Rejected national registration,,,
Singapore,Refusal,,,
Slovakia,1004520,19.05.2019,OM UK,
Syria,1004520,19.05.2019,Teleman,
Turkmenistan,1004520,19.05.2019,Teleman,
Ukraine,1004520,19.05.2019,Teleman,
United Arab Emirates,181441,04.11.2022,OM BVI,
United Kingdom (UK),1004520,19.05.2019,Teleman,
Uzbekistan,1004520,19.05.2019,Teleman,
Vietnam,1004520,19.05.2019,Teleman,
