Albania,1246771,,OM BVI,
Armenia,1246771,,OM BVI,
Austria,1246771,11.12.2024,OM BVO,
Azerbaijan,1246771,,OM BVI,
Bosnia and Herzegovina,1246771,,OM BVI,
Bulgaria,134780,20.11.2014,OM BVO,
Bahrain,1246771,,OM BVO,
Belarus,1246771,,OM BVO,
Belgium,1246771,11.12.2024,OM BVO,
China,1246771,,OM BVO,descriptive
Croatia,1246771,11.12.2024,OM BVO,
Cyprus,1246771,,OM BVO,descriptive
Czech Republic,1246771,,OM BVO,
Denmark,1246771,11.12.2024,OM BVO,
Estonia,1246771,,OM BVO,
Egypt,1246771,,OM BVO,
Finland,1246771,,OM BVO,
France,1246771,11.12.2024,OM BVO,
Georgia,1246771,,OM BVO,
Germany,1246771,,OM BVO,descriptive
Ghana,1246771,,OM BVO,
Benelux,1246771,,OM BVO,
Greece,6024,02.04.2022, OM UK,
Hungary,1246771,,OM BVO,descriptive
Iceland,1246771,11.12.2024,OM BVO,
Ireland,1246771,,OM BVO,earlier (TABACCHI)
Israel,1246771,,OM BVO,
India,1246772,,OM BVO,
Iran,1246773,,OM BVO,
Iraq,70528/30.08.2015,,Hristo,EIPS
Italy,1246774,,OM BVO,
Japan,5735037,23.01.2025,OM BVO,"no words, skin only"
Kenya,1246771,,OM BVO,
Kyrgyzstan,1246772,11.12.2024,OM BVO,
DPR Korea,1246771,,OM BVO,descriptive
Korea,1246774,,OM BVO,
Kazakhstan,1246775,,OM BVO,
Kuwait,167228/16.04.2015,,Hristo,
Liberia,1246771,,OM BVO,
Lithuania,1246771,11.12.2024,OM BVO,
Lebanon,165239,02.04.2030,Hristo,
Latvia,1246771,11.12.2024,OM BVO,
Luxembourg,1246771,11.12.2024,OM BVO,
Morocco,1246771,11.12.2024,OM BVO,
Moldova,1246771,,OM BVO,
Montenegro,1246771,,OM BVO,
Namibia,1246771,,OM BVO,
Netherlands,1246771,11.12.2024,OM BVO,
Nigeria,,,OM BVO,Marcaria
Norway,1246771,11.12.2024,OM BVO,
Oman,1246771,,OM BVO,
Peru,182396,05.12.2021,OM UK,
Philippines,1246771,,OM BVO,descriptive
Poland,1246771,,OM BVO,
Portugal,1246771,11.12.2024,OM BVO,
Serbia,1246771,,OM BVO,
Spain,1246771,11.12.2024,OM BVO,
Russia,1246771,,OM BVO,
Rwanda,1246771,11.12.2024,OM BVO,
Saudi Arabia,1436018390,24.02.2025,Hristo,
South Africa,,,OM BVI,
Sudan,,,OM BVO,
Sweden,1246771,,OM BVO,
Singapore,1246771,,OM BVO,
Slovenia,1246771,11.12.2024,OM BVO,
Slovakia,1246771,11.12.2024,OM BVO,
Sierra Leone,1246771,,OM BVO,
Syria,1246771,,OM BVO,
Tajikistan,1246771,,OM BVO,
Turkmenistan,1246771,,OM BVO,
Tunisia,1246771,,OM BVO,
Turkey,1246771,,OM BVO,descriptive
Ukraine,1246771,,OM BVO,
United Arab Emirates,180999,23.10.2022,Teleman,
Vietnam,230235,02.04.2023,OM UK,
United Kingdom (UK),1246771,11.12.2024,OM BVO,
Uzbekistan,1246771,,OM BVO,
Zambia,1246771,,OM BVO,
